accession_code,assembly_level
GCF_022353015.1,Contig
GCF_022353025.1,Contig
GCF_022353065.1,Contig
GCF_022353125.1,Contig
GCF_022353135.1,Contig
GCF_022426545.1,Contig
GCF_022428385.1,Contig
GCF_022428405.1,Contig
GCF_022524525.1,Scaffold
GCF_022585795.1,Contig
GCF_022586395.1,Contig
GCF_022586415.1,Contig
GCF_022586435.1,Contig
GCF_022586445.1,Contig
GCF_022586475.1,Contig
GCF_022586495.1,Contig
GCF_022586515.1,Contig
GCF_022586535.1,Contig
GCF_022586555.1,Contig
GCF_022586575.1,Contig
GCF_022586595.1,Contig
GCF_022591335.1,Complete Genome
GCF_022815765.1,Contig
GCF_022832895.1,Complete Genome
GCF_022832915.1,Complete Genome
GCF_022832935.1,Complete Genome
GCF_022869565.1,Complete Genome
GCF_022919195.1,Complete Genome
GCF_023147255.1,Scaffold
GCF_023147295.1,Scaffold
GCF_023147605.1,Contig
GCF_023147695.1,Scaffold
GCF_023147705.1,Scaffold
GCF_023147715.1,Contig
GCF_023147805.1,Contig
GCF_023147825.1,Contig
GCF_023148275.1,Scaffold
GCF_023148585.1,Scaffold
GCF_023148615.1,Contig
GCF_023149015.1,Scaffold
GCF_023149045.1,Contig
GCF_023547085.1,Complete Genome
GCF_023547105.1,Complete Genome
GCF_023547125.1,Complete Genome
GCF_023712865.1,Contig
GCF_023713005.1,Contig
GCF_023714645.1,Contig
GCF_023845095.1,Contig
GCF_024090215.1,Contig
GCF_024090225.1,Contig
GCF_024090235.1,Contig
GCF_024090255.1,Contig
GCF_024090295.1,Contig
GCF_024090315.1,Contig
GCF_024090335.1,Contig
GCF_024090345.1,Contig
GCF_024090435.1,Contig
GCF_024090495.1,Contig
GCF_024090515.1,Contig
GCF_024090535.1,Contig
GCF_024090545.1,Contig
GCF_024090575.1,Contig
GCF_024090615.1,Contig
GCF_024090695.1,Contig
GCF_024090735.1,Contig
GCF_024090745.1,Contig
GCF_024090755.1,Contig
GCF_024090795.1,Contig
GCF_024090875.1,Contig
GCF_024090905.1,Contig
GCF_024090955.1,Contig
GCF_024090975.1,Contig
GCF_024090985.1,Contig
GCF_024091095.1,Contig
GCF_024091105.1,Contig
GCF_024091155.1,Contig
GCF_024091175.1,Contig
GCF_024091185.1,Contig
GCF_024091255.1,Contig
GCF_024091265.1,Contig
GCF_024091295.1,Contig
GCF_024091375.1,Contig
GCF_024091415.1,Contig
GCF_024091425.1,Contig
GCF_024091455.1,Contig
GCF_024091495.1,Contig
GCF_024091575.1,Contig
GCF_024091605.1,Contig
GCF_024091645.1,Contig
GCF_024091665.1,Contig
GCF_024091675.1,Contig
GCF_024091715.1,Contig
GCF_024091735.1,Contig
GCF_024091745.1,Contig
GCF_024091785.1,Contig
GCF_024091795.1,Contig
GCF_024091835.1,Contig
GCF_024091855.1,Contig
GCF_024091865.1,Contig
GCF_024091875.1,Contig
GCF_024091885.1,Contig
GCF_024091935.1,Contig
GCF_024091955.1,Contig
GCF_024091965.1,Contig
GCF_024091975.1,Contig
GCF_024091985.1,Contig
GCF_024092035.1,Contig
GCF_024092055.1,Contig
GCF_024092065.1,Contig
GCF_024092075.1,Contig
GCF_024092105.1,Contig
GCF_024092135.1,Contig
GCF_024092155.1,Contig
GCF_024092165.1,Contig
GCF_024092195.1,Contig
GCF_024204705.1,Complete Genome
GCF_024204725.1,Complete Genome
GCF_024204745.1,Complete Genome
GCF_024204765.1,Complete Genome
GCF_024204785.1,Complete Genome
GCF_024204805.1,Complete Genome
GCF_024204825.1,Complete Genome
GCF_024204845.1,Complete Genome
GCF_024204865.1,Complete Genome
GCF_024204885.1,Complete Genome
GCF_024204905.1,Complete Genome
GCF_024204925.1,Complete Genome
GCF_024204945.1,Complete Genome
GCF_024204965.1,Complete Genome
GCF_024204985.1,Complete Genome
GCF_024266825.1,Complete Genome
GCF_024505205.1,Contig
GCF_024655765.1,Scaffold
GCF_024668405.2,Chromosome
GCF_024668725.2,Chromosome
GCF_024733635.2,Chromosome
GCF_024742215.1,Contig
GCF_025142865.1,Contig
GCF_025143145.1,Contig
GCF_025143265.1,Contig
GCF_025145805.1,Contig
GCF_025145815.1,Contig
GCF_025145965.1,Contig
GCF_025146065.1,Contig
GCF_025146105.1,Contig
GCF_025146175.1,Contig
GCF_025146465.1,Contig
GCF_025146645.1,Contig
GCF_025146855.1,Contig
GCF_025146985.1,Contig
GCF_025147125.1,Contig
GCF_025147285.1,Contig
GCF_025147335.1,Contig
GCF_025148145.1,Contig
GCF_025150055.1,Contig
GCF_025150705.1,Contig
GCF_025150945.1,Contig
GCF_025150965.1,Contig
GCF_025150995.2,Contig
GCF_025151265.1,Contig
GCF_025151285.1,Contig
GCF_025151305.1,Contig
GCF_025151315.1,Contig
GCF_025151365.1,Contig
GCF_025446825.1,Contig
GCF_025558645.1,Complete Genome
GCF_025558665.1,Complete Genome
GCF_025558685.1,Complete Genome
GCF_025558705.1,Complete Genome
GCF_025558725.1,Complete Genome
GCF_025665415.1,Complete Genome
GCF_025809335.1,Complete Genome
GCF_026153315.1,Complete Genome
GCF_026154125.1,Contig
GCF_026154135.1,Contig
GCF_026154165.1,Contig
GCF_026154185.1,Contig
GCF_026154205.1,Contig
GCF_026154225.1,Contig
GCF_026154265.1,Contig
GCF_026154305.1,Contig
GCF_026154325.1,Contig
GCF_026154345.1,Contig
GCF_026154365.1,Contig
GCF_026154385.1,Contig
GCF_026154395.1,Contig
GCF_026154405.1,Contig
GCF_026154445.1,Contig
GCF_026157025.1,Contig
GCF_026314335.1,Complete Genome
GCF_026420045.1,Contig
GCF_027658865.1,Scaffold
GCF_027662485.1,Scaffold
GCF_027672085.1,Scaffold
GCF_027889805.1,Contig
GCF_027889815.1,Contig
GCF_027889845.1,Contig
GCF_028401885.1,Contig
GCF_028402085.1,Contig
GCF_028863305.1,Contig
GCF_028863565.1,Contig
GCF_028994915.1,Contig
GCF_029025685.1,Complete Genome
GCF_029211285.1,Contig
GCF_029211305.1,Contig
GCF_029211335.1,Contig
GCF_029211365.1,Contig
GCF_029211375.1,Contig
GCF_029211385.1,Contig
GCF_029457575.1,Complete Genome
GCF_029457595.1,Complete Genome
GCF_029457615.1,Complete Genome
GCF_029457635.1,Complete Genome
GCF_029457655.1,Chromosome
GCF_029594215.1,Scaffold
GCF_029691685.1,Complete Genome
GCF_029691705.1,Complete Genome
GCF_029691725.1,Complete Genome
GCF_029691745.1,Complete Genome
GCF_029691775.1,Complete Genome
GCF_029691795.1,Complete Genome
GCF_029691815.1,Complete Genome
GCF_029691835.1,Complete Genome
GCF_029691855.1,Complete Genome
GCF_029691875.1,Complete Genome
GCF_029691895.1,Complete Genome
GCF_029691915.1,Complete Genome
GCF_029691935.1,Complete Genome
GCF_029691955.1,Complete Genome
GCF_029876565.1,Contig
GCF_030012255.1,Contig
GCF_030012845.1,Complete Genome
GCF_030013985.1,Complete Genome
GCF_030014005.1,Complete Genome
GCF_030214925.1,Contig
GCF_030216685.1,Contig
GCF_030224335.1,Contig
GCF_030224565.1,Contig
GCF_030224625.1,Contig
GCF_030224645.1,Contig
GCF_030225005.1,Contig
GCF_030225165.1,Contig
GCF_030225195.1,Contig
GCF_030225265.1,Contig
GCF_030226285.1,Contig
GCF_030227685.1,Contig
GCF_030227845.1,Contig
GCF_030229935.1,Contig
GCF_030234055.1,Contig
GCF_030234985.1,Contig
GCF_030235025.1,Contig
GCF_030235045.1,Contig
GCF_030235065.1,Contig
GCF_030235085.1,Contig
GCF_030235105.1,Contig
GCF_030235125.1,Contig
GCF_030235145.1,Contig
GCF_030235165.1,Contig
GCF_030235185.1,Contig
GCF_030235195.1,Contig
GCF_030238065.1,Contig
GCF_030291655.1,Complete Genome
GCF_030435915.1,Complete Genome
GCF_030435955.1,Complete Genome
GCF_030435975.1,Complete Genome
GCF_030514465.1,Scaffold
GCF_030546355.1,Contig
GCF_030546405.1,Contig
GCF_030548445.1,Contig
GCF_030548475.1,Contig
GCF_030548505.1,Contig
GCF_030548645.1,Contig
GCF_030715095.1,Contig
GCF_030715545.1,Contig
GCF_030715595.1,Contig
GCF_030715635.1,Contig
GCF_030715865.1,Contig
GCF_030715875.1,Contig
GCF_030715965.1,Contig
GCF_030715975.1,Contig
GCF_030716005.1,Contig
GCF_030716025.1,Contig
GCF_030716045.1,Contig
GCF_030716065.1,Contig
GCF_030716105.1,Contig
GCF_030716125.1,Contig
GCF_030716135.1,Contig
GCF_030716165.1,Contig
GCF_030716185.1,Contig
GCF_030716565.1,Contig
GCF_030717365.1,Contig
GCF_030928195.1,Contig
GCF_030931415.1,Chromosome
GCF_031082775.1,Contig
GCF_031082805.1,Contig
GCF_031082825.1,Contig
GCF_031082845.1,Scaffold
GCF_031082865.1,Scaffold
GCF_031082925.1,Scaffold
GCF_031082945.1,Contig
GCF_031144415.1,Contig
GCF_900086615.2,Complete Genome
GCF_900108795.1,Contig
GCF_900113395.1,Scaffold
GCF_900169475.1,Scaffold
GCF_900199525.1,Scaffold
GCF_900199615.1,Scaffold
GCF_900205795.1,Scaffold
GCF_900205815.1,Scaffold
GCF_900205825.1,Scaffold
GCF_900205845.1,Scaffold
GCF_900458515.1,Contig
GCF_900458535.1,Contig
GCF_900458575.1,Contig
GCF_900458585.1,Contig
GCF_900458605.1,Contig
GCF_900458645.1,Contig
GCF_900458655.1,Contig
GCF_900638695.1,Complete Genome
GCF_902159375.1,Scaffold
GCF_902159385.1,Scaffold
GCF_902159425.1,Contig
GCF_902164795.1,Scaffold
GCF_902166085.1,Contig
GCF_902363495.1,Scaffold
GCF_902509485.1,Complete Genome
GCF_902509495.1,Complete Genome
GCF_902509505.1,Complete Genome
GCF_902509515.1,Complete Genome
GCF_902509525.1,Complete Genome
GCF_902509535.1,Complete Genome
GCF_905397425.1,Contig
GCF_910576215.1,Contig
GCF_910589805.1,Contig
GCF_910589875.1,Contig
GCF_910589905.1,Contig
GCF_910589925.1,Contig
GCF_910589955.1,Contig
GCF_910590035.1,Contig
GCF_910590075.1,Contig
GCF_910590085.1,Contig
GCF_910590115.1,Contig
GCF_910590125.1,Contig
GCF_910590245.1,Contig
GCF_910590265.1,Contig
GCF_910590275.1,Contig
GCF_910590295.1,Contig
GCF_910590335.1,Contig
GCF_910590345.1,Contig
GCF_910590355.1,Contig
GCF_910590365.1,Contig
GCF_910590375.1,Contig
GCF_910591395.1,Contig
GCF_910591415.1,Contig
GCF_913082365.1,Scaffold
GCF_947492335.1,Contig
